(zona 0),3.458952, -76.513447
(zona 0),3.463029, -76.521014
(zona 0),3.460478, -76.527052 
(zona 0),3.450851, -76.537823 
(zona 0),3.451531, -76.541646 
(zona 0),3.455851, -76.542208 
(zona 0),3.458972, -76.553556 
(zona 0),3.458552, -76.582726 
(zona 0),3.448433, -76.562660 
(zona 0),3.452630, -76.549432 
(zona 0),3.441510, -76.536748 
(zona 0),3.428423, -76.533186 
(zona 0),3.434846, -76.523287 
(zona 0),3.443270, -76.518067 
(zona 1),3.387889, -76.513426 
(zona 1),3.388507, -76.519616 
(zona 1),3.387518, -76.524073 
(zona 1),3.392462, -76.524631 
(zona 1),3.392956, -76.532493 
(zona 1),3.387827, -76.532647 
(zona 1),3.384706, -76.560319 
(zona 1),3.380813, -76.558586 
(zona 1),3.380381, -76.562300 
(zona 1),3.373645, -76.559390 
(zona 1),3.370925, -76.553571 
(zona 1),3.371060, -76.543718 
(zona 1),3.367526, -76.541765 
(zona 1),3.361442, -76.542623 
(zona 1),3.353045, -76.549232 
(zona 1),3.342849, -76.551550 
(zona 1),3.315172, -76.546142 
(zona 1),3.314658, -76.523140 
(zona 1),3.314572, -76.522882 
(zona 1),3.325626, -76.522367 
(zona 1),3.348247, -76.522968 
(zona 1),3.348932, -76.506574 
(zona 1),3.355787, -76.509492 
(zona 1),3.354073, -76.516273 
(zona 1),3.364698, -76.516359 
(zona 1),3.366069, -76.508377 
(zona 1),3.371381, -76.509578 
(zona 1),3.382049, -76.507089 
(zona 2),3.463029, -76.521014 
(zona 2),3.460478, -76.527052 
(zona 2),3.450851, -76.537823 
(zona 2),3.451531, -76.541646 
(zona 2),3.455851, -76.542208 
(zona 2),3.454776, -76.540491 
(zona 2),3.472167, -76.531307 
(zona 2),3.475791, -76.532884 
(zona 2),3.478440, -76.529107 
(zona 2),3.481190, -76.529311 
(zona 2),3.488169, -76.537783 
(zona 2),3.489748, -76.538549 
(zona 2),3.494435, -76.535436 
(zona 2),3.489850, -76.528852 
(zona 2),3.496918, -76.526449 
(zona 2),3.498546, -76.522458 
(zona 2),3.506085, -76.521685 
(zona 2),3.516365, -76.519454 
(zona 2),3.519449, -76.533659 
(zona 2),3.527416, -76.526020 
(zona 2),3.520434, -76.519239 
(zona 2),3.521805, -76.517651 
(zona 2),3.525615, -76.506765 
(zona 2),3.523958, -76.495361 
(zona 2),3.505948, -76.500053 
(zona 2),3.505516, -76.492691 
