EVENTTYPE;REGISTERDATE;STOPID;ODOMETER;LATITUDE;LONGITUDE;TASKID;LINEID;TRIPID;DATAGRAMID;DATAGRAMDATE;BUSID
9;2-nov-18;502300;28;33673267;-765295883;383;421;246;5795944220;01-NOV-18 01.48.20.000000 PM;1
0;2-nov-18;502300;338;33687283;-765323300;383;421;246;5795944961;01-NOV-18 01.48.48.000000 PM;1
0;2-nov-18;502300;829;33707667;-765362417;383;421;246;5795945769;01-NOV-18 01.49.16.000000 PM;1
0;2-nov-18;502300;908;33710250;-765367267;383;421;246;5795946580;01-NOV-18 01.49.46.000000 PM;1
0;2-nov-18;502300;908;33710233;-765367200;383;421;246;5795947399;01-NOV-18 01.50.15.000000 PM;1
0;2-nov-18;502300;924;33710250;-765367267;383;421;246;5795948213;01-NOV-18 01.50.44.000000 PM;1
0;2-nov-18;502300;989;33714067;-765374850;383;421;246;5795948995;01-NOV-18 01.51.13.000000 PM;1
0;2-nov-18;502300;1290;33725683;-765397067;383;421;246;5795949522;01-NOV-18 01.51.32.000000 PM;1
0;2-nov-18;502201;8;33727517;-765400883;383;421;246;5795949654;01-NOV-18 01.51.36.000000 PM;1
0;2-nov-18;502201;37;33730483;-765406400;383;421;246;5795949793;01-NOV-18 01.51.41.000000 PM;1
0;2-nov-18;502201;326;33751433;-765422500;383;421;246;5795950344;01-NOV-18 01.52.00.000000 PM;1
0;2-nov-18;502201;473;33765933;-765425750;383;421;246;5795951180;01-NOV-18 01.52.29.000000 PM;1
0;2-nov-18;502201;501;33768050;-765426283;383;421;246;5795951993;01-NOV-18 01.53.00.000000 PM;1
0;2-nov-18;502151;5;33771050;-765427050;383;421;246;5795952080;01-NOV-18 01.53.03.000000 PM;1
0;2-nov-18;502151;36;33775150;-765428133;383;421;246;5795952226;01-NOV-18 01.53.08.000000 PM;1
0;2-nov-18;502151;486;33815967;-765438033;383;421;246;5795953049;01-NOV-18 01.53.37.000000 PM;1
0;2-nov-18;502151;660;33833033;-765441950;383;421;246;5795953846;01-NOV-18 01.54.06.000000 PM;1
0;2-nov-18;502151;924;33857017;-765445533;383;421;246;5795954662;01-NOV-18 01.54.35.000000 PM;1
0;2-nov-18;502151;926;33857083;-765445500;383;421;246;5795955469;01-NOV-18 01.55.04.000000 PM;1
0;2-nov-18;502151;967;33861200;-765446117;383;421;246;5795956280;01-NOV-18 01.55.33.000000 PM;1
0;2-nov-18;502151;1312;33897717;-765450733;383;421;246;5795957041;01-NOV-18 01.56.02.000000 PM;1
0;2-nov-18;502151;1628;33920383;-765454817;383;421;246;5795957522;01-NOV-18 01.56.19.000000 PM;1
0;2-nov-18;502051;-1;33938350;-765457817;383;421;246;5795957880;01-NOV-18 01.56.33.000000 PM;1
0;2-nov-18;502051;31;33942633;-765458617;383;421;246;5795957993;01-NOV-18 01.56.37.000000 PM;1
0;2-nov-18;502051;400;33979483;-765464283;383;421;246;5795958777;01-NOV-18 01.57.06.000000 PM;1
0;2-nov-18;502051;423;33980100;-765464100;383;421;246;5795959612;01-NOV-18 01.57.35.000000 PM;1
0;2-nov-18;502051;491;33989783;-765463750;383;421;246;5795960451;01-NOV-18 01.58.05.000000 PM;1
0;2-nov-18;502051;975;34031550;-765466500;383;421;246;5795961154;01-NOV-18 01.58.33.000000 PM;1
0;2-nov-18;501951;5;34036783;-765467050;383;421;246;5795961240;01-NOV-18 01.58.36.000000 PM;1
0;2-nov-18;501951;31;34041167;-765467483;383;421;246;5795961496;01-NOV-18 01.58.45.000000 PM;1
0;2-nov-18;501951;374;34072800;-765472083;383;421;246;5795962297;01-NOV-18 01.59.14.000000 PM;1
