500301,254,SALOM2,Salomia B1,-763023598,32825866,-76.506555,3.47385167
500350,254,POPU1,Popular A1,-763039192,32810092,-76.51088667,3.46947
500353,254,POPU4,Popular B2,-763038034,32810842,-76.510565,3.46967833
500400,248,MZAN1,Manzanares A1,-763048366,32758050,-76.513435,3.466125
500401,254,MZAN2,Manzanares B1,-763047592,32758752,-76.51322,3.46632
500450,254,FATI1,Fatima A1,-763103072,32746404,-76.51752,3.46289
500451,254,FATI2,Fatima B1,-763102010,32746716,-76.517225,3.46297667
500500,248,RIOC1,Rio Cali A1,-763131236,32737548,-76.52534333,3.46043
500600,254,TORRE1,Torre de Cali A1,-763149104,32725122,-76.53030667,3.45697833
500601,254,TORRE2,Torre de Cali B1,-763149110,32724294,-76.53030833,3.45674833
500602,248,TORRE3,Torre de Cali A2,-763149932,32723574,-76.53053667,3.45654833
500603,254,TORRE4,Torre de Cali B2,-763148174,32725632,-76.53004833,3.45712
500650,254,PILOT2,Piloto B1,-763120364,32736510,-76.52232333,3.46014167
500700,254,SANIC2,San Nicolas B1,-763132076,32730936,-76.52557667,3.45859333
500750,248,ERMI1,La Ermita A1,-763154055,32713133,-76.53168194,3.45364806
500751,254,ERMI3,La Ermita A2,-763153525,32711456,-76.53153472,3.45318222
500800,254,CAYZED1,Plaza de Cayzedo A1,-763152836,32708670,-76.53134333,3.45240833
500850,248,CENTRO1,Centro A1,-763148534,32654846,-76.53014833,3.44856833
500851,254,CENTRO3,Centro A2,-763148012,32653208,-76.53000333,3.44811333
500900,254,STROSA1,Santa Rosa A1,-763147130,32650040,-76.52975833,3.44723333
500950,250,FRAY1,Fray Damian A1,-763144226,32638394,-76.52895167,3.44399833
500951,254,FRAY3,Fray Damian A2,-763143817,32636353,-76.52883806,3.44343139
500952,254,FRAY5,Fray Damian A3,-763143428,32635256,-76.52873,3.44312667
501000,254,SANBO1,San Bosco A1,-763156838,32632424,-76.532455,3.44234
501001,250,SANBO2,San Bosco B1,-763157234,32632082,-76.532565,3.442245
501002,254,SANBO3,San Bosco A2,-763158296,32631950,-76.53286,3.44220833
501003,254,SANBO4,San Bosco B2,-763155590,32632472,-76.53210833,3.44235333
501050,254,7-ago-01,7 de Agosto A1,-762913440,32643122,-76.48706667,3.44531167
501051,250,7-ago-02,7 de Agosto B1,-762913920,32642744,-76.4872,3.44520667
501052,254,7-ago-03,7 de Agosto A2,-762914808,32642822,-76.48744667,3.44522833
501053,254,7-ago-04,7 de Agosto B2,-762912210,32643290,-76.486725,3.44535833
501100,250,TREB1,Trebol A1,-762945984,32637044,-76.49610667,3.44362333
501101,254,TREB2,Trebol B1,-762945090,32636456,-76.49585833,3.44346
501150,254,VICOL1,Villacolombia A1,-762956280,32638262,-76.49896667,3.44396167
501151,248,VICOL2,Villacolombia B1,-762955344,32637536,-76.49870667,3.44376
501200,254,CHAPI1,Chapinero A1,-763008352,32639822,-76.50232,3.444395
501201,254,CHAPI2,Chapinero B1,-763007482,32639258,-76.50207833,3.44423833
501250,254,ATGI1,Atanasio Girardot A1,-763030372,32641658,-76.50843667,3.444905
501251,250,ATGI2,Atanasio Girardot B1,-763029262,32641130,-76.50812833,3.44475833
501300,254,FLORE1,Floresta A1,-763052956,32643254,-76.51471,3.44534833
501301,254,FLORE2,Floresta B1,-763051996,32642936,-76.51444333,3.44526
501350,254,BELAL1,Belalcazar A1,-763115024,32639036,-76.52084,3.44417667
501351,254,BELAL2,Belalcazar B1,-763113920,32638904,-76.52053333,3.44414
